year,importer_country,supplier_country,product_code,product_description,trade_flow,trade_value_usd,quantity_kg,avg_price_per_kg,product_group
2022,Ghana,Lithuania,030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,11141.927,15240.0,0.7310975721784777,Frozen hake
2022,Ghana,Mauritania,030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,2668137.52,2872582.0,0.9288290186320182,Frozen hake
2022,Ghana,Mexico,030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,485502.289,527910.0,0.9196686726904207,Frozen hake
2022,Ghana,Namibia,030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,170.711,27.0,6.32262962962963,Frozen hake
2022,Ghana,South Africa,030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,19473.551,5420.19,3.5927801423935324,Frozen hake
2022,Ghana,USA,030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,1766397.335,1337594.86,1.3205772448916258,Frozen hake
2022,Ghana,Uruguay,030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,76928.513,27700.0,2.7772026353790618,Frozen hake
2022,Ghana,Angola,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,8609753.64,10540785.0,0.8168038376648419,Frozen mackerel
2022,Ghana,Belgium,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,260922.803,292005.0,0.8935559425352306,Frozen mackerel
2022,Ghana,Benin,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,48435.975,54000.0,0.8969625,Frozen mackerel
2022,Ghana,Brazil,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,24629.709,24500.0,1.0052942448979592,Frozen mackerel
2022,Ghana,Burkina Faso,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,24102.115,18860.0,1.2779488335100744,Frozen mackerel
2022,Ghana,Chile,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,569763.711,396800.0,1.435896449092742,Frozen mackerel
2022,Ghana,China,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,2715483.283,2826663.0,0.9606675019271841,Frozen mackerel
2022,Ghana,Côte d'Ivoire,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,1534485.375,5010166.0,0.3062743579753645,Frozen mackerel
2022,Ghana,Denmark,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,62466.406,77322.0,0.8078736452756008,Frozen mackerel
2022,Ghana,Ecuador,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,258207.198,271000.0,0.9527940885608857,Frozen mackerel
2022,Ghana,Faroe Isds,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,15645937.399,15742916.0,0.9938398578128728,Frozen mackerel
2022,Ghana,France,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,30765.273,26250.0,1.1720104,Frozen mackerel
2022,Ghana,Gambia,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,1030381.658,905360.0,1.1380905474065566,Frozen mackerel
2022,Ghana,Germany,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,551060.563,579920.0,0.9502354859290936,Frozen mackerel
2022,Ghana,Guinea,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,22134.52,26150.0,0.8464443594646271,Frozen mackerel
2022,Ghana,Guinea-Bissau,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,6614.697,8640.0,0.7655899305555556,Frozen mackerel
2022,Ghana,Ireland,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,957596.003,1120000.0,0.85499643125,Frozen mackerel
2022,Ghana,Japan,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,3176910.956,2435175.0,1.3045924650179144,Frozen mackerel
2022,Ghana,Lebanon,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,97648.026,108000.0,0.9041483888888888,Frozen mackerel
2022,Ghana,Lithuania,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,133837.529,155020.0,0.863356528189911,Frozen mackerel
2022,Ghana,Mauritania,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,25831587.37,29191215.0,0.8849096336003829,Frozen mackerel
2022,Ghana,Mexico,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,131091.982,139990.0,0.9364381884420315,Frozen mackerel
2022,Ghana,Morocco,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,12777353.942,11031860.0,1.1582229961221409,Frozen mackerel
2022,Ghana,Netherlands,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,1768103.65,1442075.0,1.2260830053915364,Frozen mackerel
2022,Ghana,Norway,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,3048743.528,1889900.0,1.6131771670458754,Frozen mackerel
2022,Ghana,Oman,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,140723.58,136500.0,1.030941978021978,Frozen mackerel
