year,importer_country,product_group,has_2025_data,rows,supplier_count,trade_value_usd_2025,quantity_kg_2025,trade_value_usd_2024,quantity_kg_2024,suppliers_2024,value_ratio_2025_vs_2024,quantity_ratio_2025_vs_2024
2025,Ghana,Frozen mackerel,True,45,45,220102193.60700005,176033859.39200002,,,,,
2025,Ghana,Frozen hake,True,6,6,1569996.314,1654368.12,,,,,
2025,Ghana,Frozen shrimp/prawns,True,14,14,419120.81799999997,320856.314,,,,,
2025,Egypt,Frozen Atlantic salmon,True,5,5,30943420.453999996,3820083.856,12988289.195,1574012.875,2.0,2.3824092603290694,2.4269711618464367
2025,Egypt,Frozen yellowfin tuna,False,0,0,0.0,0.0,,,,,
2025,Egypt,Frozen mackerel,True,22,22,227763867.13599998,81610594.14599998,132416730.552,59354689.009,24.0,1.7200535475126928,1.3749645648657227
2025,Egypt,Frozen hake,False,0,0,0.0,0.0,73113.742,29348.989,1.0,0.0,0.0
2025,Egypt,Frozen shrimp/prawns,True,11,11,182448436.74099997,23486016.731000002,115732863.28199999,15484075.715,7.0,1.5764617893919877,1.5167851903648486
2025,United Arab Emirates,Frozen Atlantic salmon,False,0,0,0.0,0.0,,,,,
2025,United Arab Emirates,Frozen yellowfin tuna,False,0,0,0.0,0.0,,,,,
2025,United Arab Emirates,Frozen mackerel,False,0,0,0.0,0.0,,,,,
2025,United Arab Emirates,Frozen hake,False,0,0,0.0,0.0,,,,,
2025,United Arab Emirates,Frozen shrimp/prawns,False,0,0,0.0,0.0,,,,,
